rank,priority_bucket,faculty_name,likely_faculty_status,institution,country_code,us_or_non_us,in_existing_us_grad_program_file,grad_advisor_fit,advisor_competitiveness,matched_works_count,most_recent_matched_year,computational_ecology_fit_tags,openalex_h_index,openalex_works_count,openalex_cited_by_count,top_matched_journals,representative_work_1,representative_work_2,representative_work_3,why_theo_should_research,suggested_first_email_angle,orcid,openalex_profile_url,data_source_snapshot_date
509,C - keep on longlist,Pedro J. Leitão,Possible faculty/senior researcher,Lufthansa (Germany),DE,Non-US,no,Possible (manual verification needed),Selective but variable,2,2020,species_distribution,31,92,15233,Ecography; Frontiers in Ecology and Evolution,A standard protocol for reporting species distribution models,Improving Models of Species Ecological Niches: A Remote Sensing Overview,,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0003-3038-9531,https://openalex.org/A5044136654,2026-04-10
510,C - keep on longlist,Xavier Corrales,Possible faculty/senior researcher,Consejo Superior de Investigaciones Científicas,ES,Non-US,no,Possible (manual verification needed),Selective but variable,3,2021,ecosystem_modeling,15,44,896,Biological Invasions; Ocean & Coastal Management; Estuarine Coastal and Shelf Science,Advances and challenges in modelling the impacts of invasive alien species on aquatic ecosystems,Structure and functioning of the Bay of Biscay ecosystem: A trophic modelling approach,Modelling the role of alien species and fisheries in an Eastern Mediterranean insular shelf ecosystem,Recurring publication signal (3 matched works) in ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in ecosystem modeling and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-5257-0529,https://openalex.org/A5081089169,2026-04-10
511,C - keep on longlist,Roberto Carlucci,Likely faculty/senior PI,CoNISMa,IT,Non-US,no,Possible (manual verification needed),Selective but variable,3,2023,food_webs; species_distribution,35,171,3239,Fish and Fisheries; Data in Brief; 2022 IEEE International Workshop on Metrology for the Sea; Learning to Measure Sea Health Parameters (MetroSea),Identifying priority areas for spatial management of mixed fisheries using ensemble of multi‐species distribution models,Dataset and species aggregation method applied to food-web models in the Northern Ionian Sea (Central Mediterranean Sea),Modelling dynamic effects of fishery on odontocetes through a food-web modelling approach in the Gulf of Taranto (Northern Ionian Sea),"Recurring publication signal (3 matched works) in food_webs, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-9287-6936,https://openalex.org/A5022640843,2026-04-10
512,C - keep on longlist,D. James Baker,Possible faculty/senior researcher,Howard Hughes Medical Institute,US,US,no,Possible (verify if supervising PhD students),Selective but variable,2,2022,species_distribution,29,169,3230,Global Ecology and Biogeography; Journal of Applied Ecology,Correlations between spatial sampling biases and environmental niches affect species distribution models,Species distribution modelling is needed to support ecological impact assessments,,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-0466-8222,https://openalex.org/A5072398898,2026-04-10
513,C - keep on longlist,D. Matthias Dehling,Likely faculty/senior PI,Australian Regenerative Medicine Institute,AU,Non-US,no,Possible (manual verification needed),Selective but variable,3,2025,ecological_networks; species_distribution,30,63,4991,Ecology Letters; bioRxiv (Cold Spring Harbor Laboratory),Eltonian Niche Modelling: Applying Joint Hierarchical Niche Models to Ecological Networks,Eltonian niche modelling: applying joint hierarchical niche models to ecological networks,"Author response for ""Eltonian Niche Modelling: Applying Joint Hierarchical Niche Models to Ecological Networks""","Recurring publication signal (3 matched works) in ecological_networks, species_distribution; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in ecological networks and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-2863-5580,https://openalex.org/A5047232274,2026-04-10
514,C - keep on longlist,Vladislav Bastrikov,Likely faculty/senior PI,Centre National de la Recherche Scientifique,FR,Non-US,no,Possible (manual verification needed),Selective but variable,3,2021,ecosystem_modeling,24,138,5565,Environmental Research Letters; Geoscientific model development,"Accounting for carbon and nitrogen interactions in the global terrestrial ecosystem model ORCHIDEE (trunk version, rev 4999): multi-scale evaluation of gross primary production",Dynamic global vegetation models underestimate net CO<sub>2</sub> flux mean and inter-annual variability in dryland ecosystems,Comparing machine learning-derived global estimates of soil respiration and its components with those from terrestrial ecosystem models,Recurring publication signal (3 matched works) in ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in ecosystem modeling and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-4462-9607,https://openalex.org/A5083350865,2026-04-10
515,C - keep on longlist,Wenjia Hu,Possible faculty/senior researcher,Ministry of Natural Resources,CN,Non-US,no,Possible (manual verification needed),Selective but variable,2,2020,species_distribution,20,76,1256,The Science of The Total Environment; Forest Ecology and Management,Mapping the potential of mangrove forest restoration based on species distribution models: A case study in China,Predicting potential mangrove distributions at the global northern distribution margin using an ecological niche model: Determining conservation and reforestation involvement,,Recurring publication signal (2 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-5303-9513,https://openalex.org/A5029591807,2026-04-10
516,C - keep on longlist,Blanche Saint‐Béat,Possible faculty/senior researcher,Ifremer,FR,Non-US,no,Possible (manual verification needed),Selective but variable,3,2024,food_webs; ecosystem_modeling,16,28,778,Ecological Modelling; Frontiers in Ecology and Evolution; Elementa Science of the Anthropocene,Contrasting pelagic ecosystem functioning in eastern and western Baffin Bay revealed by trophic network modeling,Quantitative food web modeling unravels the importance of the microphytobenthos-meiofauna pathway for a high trophic transfer by meiofauna in soft-bottom intertidal food webs.,Linking individual experiments and multiscale models to simulate physiological perturbations on aquatic food webs,"Recurring publication signal (3 matched works) in food_webs, ecosystem_modeling; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in food webs and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-2401-2052,https://openalex.org/A5049972383,2026-04-10
517,C - keep on longlist,David I. Warton,Possible faculty/senior researcher,,,Non-US,unknown,Possible (manual verification needed),Selective but variable,2,2023,species_distribution; joint_models,55,196,25692,Ecological Monographs; Methods in Ecology and Evolution,A comprehensive evaluation of predictive performance of 33 species distribution models at species and community levels,Spatiotemporal joint species distribution modelling: A basis function approach,,"Recurring publication signal (2 matched works) in species_distribution, joint_models; worth reading recent papers for advisor-fit and funding alignment.",Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0001-9441-6645,https://openalex.org/A5054836512,2026-04-10
518,C - keep on longlist,Monserrat Vázquez-Sánchez,Possible faculty/senior researcher,Colegio de Postgraduados,MX,Non-US,no,Possible (manual verification needed),Selective but variable,3,2022,species_distribution,12,45,447,Environmental Modeling & Assessment; Global Ecology and Conservation; Journal of Apicultural Science,Ecological Niche Modeling for Halophyte Species with Possible Anthropogenic Use in Agricultural Saline Soils,Ecological niche modeling of interactions in a buzz-pollinated invasive weed,Use of Ecological Niche Models of Plant Species to Optimize Placement of Apiaries,Recurring publication signal (3 matched works) in species_distribution; worth reading recent papers for advisor-fit and funding alignment.,Lead with your interest in species distribution and reference one recent paper where their method could be applied to your data.,https://orcid.org/0000-0002-2498-2833,https://openalex.org/A5007687811,2026-04-10
